# https://en.wikipedia.org/w/index.php?title=List_of_United_States_cities_by_population
2019 rank;Name;State;2019 estimate;Land area
1;New York;New York;8336817;780.9
2;Los Angeles;California;3979576;1,213.9
3;Chicago;Illinois;2693976;588.7
4;Houston;Texas;2320268;1,651.1
5;Phoenix;Arizona;1680992;1,340.6
6;Philadelphia;Pennsylvania;1584064;347.6
7;San Antonio;Texas;1547253;1,194.0
8;San Diego;California;1423851;842.3
9;Dallas;Texas;1343573;882.9
10;San Jose;California;1021795;459.7
11;Austin;Texas;978908;809.9
12;Jacksonville;Florida;911507;1,935.8
13;Fort Worth;Texas;909585;888.1
14;Columbus;Ohio;898553;565.9
15;Charlotte;North Carolina;885708;791.0
16;San Francisco;California;881549;121.5
17;Indianapolis;Indiana;876384;936.3
18;Seattle;Washington;753675;217.0
19;Denver;Colorado;727211;397.0
20;Washington;District of Columbia;705749;158.2
21;Boston;Massachusetts;692600;125.1
22;El Paso;Texas;681728;665.1
23;Nashville;Tennessee;670820;1,232.6
24;Detroit;Michigan;670031;359.5
25;Oklahoma City;Oklahoma;655057;1,570.3
26;Portland;Oregon;654741;345.8
27;Las Vegas;Nevada;651319;348.1
28;Memphis;Tennessee;651073;822.1
29;Louisville;Kentucky;617638;682.5
30;Baltimore;Maryland;593490;209.5
31;Milwaukee;Wisconsin;590157;249.2
32;Albuquerque;New Mexico;560513;487.4
33;Tucson;Arizona;548073;597.8
34;Fresno;California;531576;296.3
35;Mesa;Arizona;518012;357.2
36;Sacramento;California;513624;253.6
37;Atlanta;Georgia;506811;345.8
38;Kansas City;Missouri;495327;815.8
39;Colorado Springs;Colorado;478221;506.6
40;Omaha;Nebraska;478192;345.0
41;Raleigh;North Carolina;474069;375.8
42;Miami;Florida;467963;93.2
43;Long Beach;California;462628;130.3
44;Virginia Beach;Virginia;449974;633.8
45;Oakland;California;433031;144.8
46;Minneapolis;Minnesota;429606;139.9
47;Tulsa;Oklahoma;401190;509.7
48;Tampa;Florida;399700;293.7
49;Arlington;Texas;398854;248.1
50;New Orleans;Louisiana;390144;438.7
51;Wichita;Kansas;389938;415.4
52;Bakersfield;California;384145;385.4
53;Cleveland;Ohio;381009;201.2
54;Aurora;Colorado;379289;397.6
55;Anaheim;California;350365;129.5
56;Honolulu;Hawaii;345064;156.7
57;Santa Ana;California;332318;70.2
58;Riverside;California;331360;210.3
59;Corpus Christi;Texas;326586;452.2
60;Lexington;Kentucky;323152;734.5
61;Henderson;Nevada;320189;271.2
62;Stockton;California;312697;159.8
63;Saint Paul;Minnesota;308096;134.7
64;Cincinnati;Ohio;303940;200.5
65;St. Louis;Missouri;300576;160.6
66;Pittsburgh;Pennsylvania;300286;143.5
67;Greensboro;North Carolina;296710;332.3
68;Lincoln;Nebraska;289102;238.5
69;Anchorage;Alaska;288000;4,420.1
70;Plano;Texas;287677;185.7
71;Orlando;Florida;287442;272.5
72;Irvine;California;287401;169.9
73;Newark;New Jersey;282011;62.4
74;Durham;North Carolina;278993;284.4
75;Chula Vista;California;274492;128.5
76;Toledo;Ohio;272779;209.0
77;Fort Wayne;Indiana;270402;286.5
78;St. Petersburg;Florida;265351;160.1
79;Laredo;Texas;262491;261.8
80;Jersey City;New Jersey;262075;38.3
81;Chandler;Arizona;261165;168.1
82;Madison;Wisconsin;259680;199.4
83;Lubbock;Texas;258862;322.7
84;Scottsdale;Arizona;258069;476.3
85;Reno;Nevada;255601;277.9
86;Buffalo;New York;255284;104.6
87;Gilbert;Arizona;254114;176.1
88;Glendale;Arizona;252381;153.1
89;North Las Vegas;Nevada;251974;253.8
90;WinstonSalem;North Carolina;247945;343.2
91;Chesapeake;Virginia;244835;876.7
92;Norfolk;Virginia;242742;138.0
93;Fremont;California;241110;200.7
94;Garland;Texas;239928;147.6
95;Irving;Texas;239798;173.5
96;Hialeah;Florida;233339;55.7
97;Richmond;Virginia;230436;154.9
98;Boise;Idaho;228959;212.6
99;Spokane;Washington;222081;177.9
100;Baton Rouge;Louisiana;220236;222.5
101;Tacoma;Washington;217827;128.7
102;San Bernardino;California;215784;159.3
103;Modesto;California;215196;111.4
104;Fontana;California;214547;111.4
105;Des Moines;Iowa;214237;230.2
106;Moreno Valley;California;213055;132.9
107;Santa Clarita;California;212979;136.8
108;Fayetteville;North Carolina;211657;382.5
109;Birmingham;Alabama;209403;378.4
110;Oxnard;California;208881;69.7
111;Rochester;New York;205695;92.7
112;Port St. Lucie;Florida;201846;307.9
113;Grand Rapids;Michigan;201013;115.0
114;Huntsville;Alabama;200574;552.7
115;Salt Lake City;Utah;200567;288.0
116;Frisco;Texas;200490;175.3
117;Yonkers;New York;200370;46.6
118;Amarillo;Texas;199371;262.6
119;Glendale;California;199303;78.7
120;Huntington Beach;California;199223;69.7
121;McKinney;Texas;199177;163.2
122;Montgomery;Alabama;198525;413.9
123;Augusta;Georgia;197888;783.5
124;Aurora;Illinois;197757;116.3
125;Akron;Ohio;197597;160.6
126;Little Rock;Arkansas;197312;307.4
127;Tempe;Arizona;195805;103.6
128;Columbus;Georgia;195769;560.5
129;Overland Park;Kansas;195494;194.5
130;Grand Prairie;Texas;194543;187.3
131;Tallahassee;Florida;194500;260.0
132;Cape Coral;Florida;194495;273.5
133;Mobile;Alabama;188720;361.0
134;Knoxville;Tennessee;187603;255.1
135;Shreveport;Louisiana;187112;277.4
136;Worcester;Massachusetts;185428;96.9
137;Ontario;California;185010;129.2
138;Vancouver;Washington;184463;121.5
139;Sioux Falls;South Dakota;183793;195.3
140;Chattanooga;Tennessee;182799;370.6
141;Brownsville;Texas;182781;343.2
142;Fort Lauderdale;Florida;182437;89.6
143;Providence;Rhode Island;179883;47.7
144;Newport News;Virginia;179225;179.0
145;Rancho Cucamonga;California;177603;103.6
146;Santa Rosa;California;176753;107.0
147;Peoria;Arizona;175961;455.1
148;Oceanside;California;175742;107.0
149;Elk Grove;California;174775;109.3
150;Salem;Oregon;174365;125.9
151;Pembroke Pines;Florida;173591;85.5
152;Eugene;Oregon;172622;114.2
153;Garden Grove;California;171644;46.6
154;Cary;North Carolina;170282;146.3
155;Fort Collins;Colorado;170243;144.5
156;Corona;California;169868;102.3
157;Springfield;Missouri;167882;213.2
158;Jackson;Mississippi;160628;287.5
159;Alexandria;Virginia;159428;38.8
160;Hayward;California;159203;117.8
161;Clarksville;Tennessee;158146;254.6
162;Lakewood;Colorado;157935;111.1
163;Lancaster;California;157601;244.2
164;Salinas;California;155465;61.1
165;Palmdale;California;155079;274.5
166;Hollywood;Florida;154817;70.7
167;Springfield;Massachusetts;153606;82.6
168;Macon;Georgia;153159;645.7
169;Kansas City;Kansas;152960;323.2
170;Sunnyvale;California;152703;57.0
171;Pomona;California;151691;59.6
172;Killeen;Texas;151666;138.6
173;Escondido;California;151625;96.1
174;Pasadena;Texas;151227;112.7
175;Naperville;Illinois;148449;100.2
176;Bellevue;Washington;148164;86.8
177;Joliet;Illinois;147344;166.8
178;Murfreesboro;Tennessee;146900;144.8
179;Midland;Texas;146038;192.7
180;Rockford;Illinois;145609;164.5
181;Paterson;New Jersey;145233;21.8
182;Savannah;Georgia;144464;268.3
183;Bridgeport;Connecticut;144399;41.7
184;Torrance;California;143592;53.1
185;McAllen;Texas;143268;151.3
186;Syracuse;New York;142327;64.7
187;Surprise;Arizona;141664;279.5
188;Denton;Texas;141541;241.9
189;Roseville;California;141500;111.4
190;Thornton;Colorado;141464;92.5
191;Miramar;Florida;141191;76.1
192;Pasadena;California;141029;59.6
193;Mesquite;Texas;140937;122.2
194;Olathe;Kansas;140545;157.7
195;Dayton;Ohio;140407;144.3
196;Carrollton;Texas;139248;94.0
197;Waco;Texas;139236;230.5
198;Orange;California;138669;65.8
199;Fullerton;California;138632;58.0
200;Charleston;South Carolina;137566;282.3
201;West Valley City;Utah;135248;91.9
202;Visalia;California;134605;97.1
203;Hampton;Virginia;134510;133.4
204;Gainesville;Florida;133997;161.4
205;Warren;Michigan;133943;89.1
206;Coral Springs;Florida;133759;61.6
207;Cedar Rapids;Iowa;133562;183.4
208;Round Rock;Texas;133372;92.2
209;Sterling Heights;Michigan;132438;94.5
210;Kent;Washington;132319;87.3
211;Columbia;South Carolina;131674;345.8
212;Santa Clara;California;130365;47.7
213;New Haven;Connecticut;130250;48.4
214;Stamford;Connecticut;129638;97.4
215;Concord;California;129295;79.0
216;Elizabeth;New Jersey;129216;31.9
217;Athens;Georgia;126913;301.5
218;Thousand Oaks;California;126813;143.0
219;Lafayette;Louisiana;126185;139.3
220;Simi Valley;California;125613;107.5
221;Topeka;Kansas;125310;159.3
222;Norman;Oklahoma;124880;463.1
223;Fargo;North Dakota;124662;127.7
224;Wilmington;North Carolina;123744;133.6
225;Abilene;Texas;123420;276.4
226;Odessa;Texas;123334;117.1
227;Columbia;Missouri;123195;168.3
228;Pearland;Texas;122460;119.9
229;Victorville;California;122385;189.8
230;Hartford;Connecticut;122105;45.1
231;Vallejo;California;121692;79.5
232;Allentown;Pennsylvania;121442;45.3
233;Berkeley;California;121363;27.2
234;Richardson;Texas;121323;74.1
235;Arvada;Colorado;121272;100.0
236;Ann Arbor;Michigan;119980;72.8
237;Rochester;Minnesota;118935;141.4
238;Cambridge;Massachusetts;118927;16.6
239;Sugar Land;Texas;118488;88.1
240;Lansing;Michigan;118210;101.3
241;Evansville;Indiana;117979;122.5
242;College Station;Texas;117911;132.1
243;Fairfield;California;117133;105.9
244;Clearwater;Florida;116946;67.1
245;Beaumont;Texas;116825;212.6
246;Independence;Missouri;116672;201.5
247;Provo;Utah;116618;108.0
248;West Jordan;Utah;116480;83.7
249;Murrieta;California;116223;87.0
250;Palm Bay;Florida;115552;170.2
251;El Monte;California;115487;24.9
252;Carlsbad;California;115382;97.6
;North Charleston;South Carolina;115382;190.9
254;Temecula;California;114761;96.6
255;Clovis;California;114584;62.7
256;Springfield;Illinois;114230;155.7
257;Meridian;Idaho;114161;77.2
258;Westminster;Colorado;113166;82.1
259;Costa Mesa;California;113003;40.7
260;High Point;North Carolina;112791;143.0
261;Manchester;New Hampshire;112673;85.7
